"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"632",620454,"Jose Castillo",2018,"632","100.0","0.170","0.096","0.250","0.267","0.234","0.235","0.170","23","135","87.4","18.7","2392","89.6","89.35","98","289","338","-0.3","6.13","115","150","114","147","296","316","298"
"632",608665,"Kendall Graveman",2018,"632","100.0","0.306","0.236","0.324","0.542","0.388","0.389","0.297","44","144","88.2","6.6","2342","90.4","90.43","50","257","373","0.0","6.44","110","150","117","151","301","321","302"
"628",640464,"Kohl Stewart",2018,"628","100.0","0.246","0.080","0.292","0.326","0.306","0.332","0.262","34","138","88.7","4.1","2120","90.0","90.07","47","263","362","0.1","6.18","108","152","115","148","293","324","290"
"627",448609,"Tony Sipp",2018,"627","100.0","0.200","0.111","0.277","0.311","0.258","0.263","0.204","27","135","86.4","15.1","1947","86.9","85.78","92","288","337","-1.1","5.87","111","151","115","150","282","311","286"
"620",448281,"Sean Doolittle",2018,"620","100.0","0.135","0.077","0.196","0.213","0.172","0.204","0.161","21","155","84.3","22.4","2210","92.7","92.56","117","347","269","-0.1","6.23","110","150","113","148","300","310","295"
"619",599683,"Warwick Saupold",2018,"619","100.0","0.293","0.200","0.294","0.493","0.363","0.399","0.325","41","140","89.7","10.5","2229","88.0","86.87","39","272","345","-1.1","5.68","110","150","114","146","291","314","289"
"615",656354,"Austin Davis",2018,"615","100.0","0.265","0.220","0.330","0.485","0.342","0.285","0.224","35","132","88.8","13.5","2160","88.4","88.20","76","279","331","-0.2","6.13","109","153","111","148","295","319","289"
"612",541652,"Bruce Rondon",2018,"612","100.0","0.298","0.129","0.424","0.427","0.371","0.338","0.246","37","124","88.7","13.0","2209","91.9","92.14","91","276","335","0.2","6.37","109","146","110","144","292","309","290"
"609",476594,"Robert Stock",2018,"609","100.0","0.247","0.053","0.324","0.300","0.276","0.268","0.217","37","150","86.7","13.0","2349","91.5","91.11","67","259","346","-0.4","6.13","114","150","113","147","298","317","303"
"609",641835,"Tim Mayza",2018,"609","100.0","0.244","0.126","0.326","0.370","0.298","0.265","0.200","33","135","87.5","10.8","2088","90.5","90.19","92","305","302","-0.3","6.24","108","152","114","145","294","315","289"
"609",607481,"Aaron Bummer",2018,"609","100.0","0.301","0.075","0.402","0.376","0.323","0.314","0.268","40","133","90.7","0.7","2006","90.5","89.79","63","262","343","-0.7","5.91","107","147","112","145","286","306","291"
"606",605538,"Matt Wisler",2018,"606","100.0","0.265","0.226","0.280","0.490","0.328","0.353","0.284","41","155","89.7","20.2","2192","86.9","85.52","65","287","319","-1.4","5.47","110","149","109","148","298","317","295"
"603",592169,"Austin Brice",2018,"603","100.0","0.271","0.264","0.288","0.535","0.359","0.334","0.252","39","144","90.7","6.3","2160","90.5","88.91","60","277","320","-1.6","5.41","115","148","111","144","294","306","284"
"602",503449,"Wily Peralta",2018,"602","100.0","0.230","0.156","0.282","0.385","0.324","0.340","0.223","28","122","90.1","10.6","1970","90.2","89.08","64","262","338","-1.1","5.49","113","153","112","144","298","322","299"
"601",621295,"Nick Wittgren",2018,"601","100.0","0.223","0.100","0.283","0.323","0.273","0.299","0.223","29","130","90.9","10.9","2097","89.7","90.20","64","285","314","0.5","6.60","110","149","109","149","296","319","297"
